Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
circleci/node:12.22-bullseye-browsers-legacy,2608,332,1519,487,44,45,181,485900792,132,verified,,1114560148
dynatrace/dynatrace-operator:v1.2.0-rc.0,44,20,14,1,0,1,8,987586104,2,verified,integration-and-delivery/monitoring-and-observability/networking,57893517
hashicorp/consul:1.18.1-ubi,96,40,32,3,0,12,9,61229797,66,verified,,115429153
rancher/shell:v0.2.1-rc.5,21,2,7,3,1,1,7,123849781,0,verified,,135448803
rancher/calico-cni:v3.27.0-rancher1,71,4,21,35,5,0,6,56964849,2,verified,,96814615
rancher/rancher:v2.9-head,201,12,61,48,6,65,9,283166464,421,verified,integration-and-delivery/monitoring-and-observability/security,829442816
amazon/dynamodb-local:2.5.1,13,1,4,3,0,4,1,296044594,460,verified,databases-and-storage/integration-and-delivery,238378241
circleci/postgres:9-bullseye-ram,241,59,40,66,21,0,55,501165403,32,verified,,84859961
portainer/portainer-ce:linux-ppc64le-2.20.3-alpine,110,4,16,5,0,83,2,1114967683,2277,verified,integration-and-delivery/monitoring-and-observability/networking,82035054
newrelic/nri-ecs:1.11.6,31,8,12,1,0,7,3,253877798,2,verified,,196148370
nginx/nginx-prometheus-exporter:1.1.1,6,2,3,0,0,0,1,75594111,41,verified,integration-and-delivery/monitoring-and-observability/web-servers,4199410
netdata/netdata:v1.45.6,135,73,3,1,1,4,53,467165995,535,verified,monitoring-and-observability/security,190844340
grafana/loki:main-5a357ea-amd64,18,5,9,0,0,1,3,1824555956,245,verified,databases-and-storage/integration-and-delivery/monitoring-and-observability,26910523
rancher/shell:v0.2.1-rc.2,63,5,19,15,2,12,10,123849781,0,verified,,134560588
kong/kong-gateway:3.7.0.0-20240528-amazonlinux-2023,23,0,12,8,0,3,0,803037512,42,verified,,371407491
amazon/aws-cli:2.16.2,7,1,1,1,0,4,0,761301862,285,verified,developer-tools,125760718
circleci/postgres:9-stretch-postgis-ram,709,174,67,130,20,250,68,501165403,32,verified,,116532404
rancher/agent:stable,1013,384,509,27,0,93,0,105333591,87,verified,integration-and-delivery/monitoring-and-observability/networking,88253001
amazon/aws-xray-daemon:3.3.12,22,4,8,6,0,3,1,1180111609,34,verified,monitoring-and-observability,56482879
