Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
linuxserver/bazarr:1.4.3,41,6,16,3,0,16,0,457713170,430,sponsored,languages-and-frameworks/web-servers,143723945
tautulli/tautulli:beta,107,51,7,12,5,1,31,195640892,308,sponsored,monitoring-and-observability/web-analytics,78563891
nodered/node-red:3.1-debian,1147,263,713,102,2,15,52,273859560,684,sponsored,api-management/integration-and-delivery/internet-of-things,267492039
jenkins/ssh-agent:latest-bookworm-jdk21,117,68,6,10,6,0,27,57752344,53,sponsored,integration-and-delivery/security,173944548
longhornio/longhorn-manager:v1.6.x-head-amd64,33,11,2,6,0,14,0,91083785,3,sponsored,,113043928
tensorflow/tensorflow:nightly-gpu,186,84,75,12,0,15,0,77301907,2431,sponsored,,3833240293
jupyter/tensorflow-notebook:x86_64-python-3.11,723,169,496,48,2,8,0,74169327,365,sponsored,data-science/languages-and-frameworks/machine-learning-and-ai,1867308290
istio/operator:1.22.0,38,23,12,1,1,0,1,6071557055,6,sponsored,monitoring-and-observability/networking/security,492
cloudnativelabs/kube-router:v2.1.0,35,8,13,3,0,3,8,150802753,12,sponsored,networking/security,100908082
linuxserver/hydra2:version-v3.0.0,672,124,340,134,28,6,40,358868754,109,sponsored,,189418580
linuxserver/letsencrypt:amd64-version-1.11.0,350,25,114,146,54,9,2,400686080,596,sponsored,,89658909
moby/buildkit:master,23,4,12,4,2,0,1,423269407,57,sponsored,,92101005
linuxserver/emby:arm64v8-4.8.8,25,17,5,2,0,1,0,42985443,200,sponsored,content-management-system/web-servers,193616232
linuxserver/resilio-sync:arm64v8-2.8.1,23,17,5,0,0,1,0,63785602,229,sponsored,data-science/networking/security,80568852
nicolargo/glances:ubuntu-4.0.7,19,9,9,0,0,1,0,78950859,178,sponsored,monitoring-and-observability/networking,78670535
verdaccio/verdaccio:6.x-next,25,5,12,8,0,0,0,209633280,193,sponsored,,197668643
linuxserver/lazylibrarian:arm64v8-version-d8b2234c,49,26,19,3,0,1,0,237657888,215,sponsored,content-management-system/integration-and-delivery,136301894
itzg/minecraft-bedrock-server:master,149,42,3,3,1,71,29,35364780,464,sponsored,integration-and-delivery/operating-systems,74705707
longhornio/longhorn-manager:v1.6.x-head,29,11,2,6,0,10,0,91083785,3,sponsored,,113043928
linuxserver/sonarr:develop-4.0.5.1719-ls64,14,0,6,7,0,0,1,2290249787,1996,sponsored,,85247479
falcosecurity/falco:master-slim,69,42,2,1,1,0,23,46824437,16,sponsored,,66658103
jupyter/all-spark-notebook:x86_64-lab-4.0.7,452,119,193,48,3,89,0,74501327,435,sponsored,data-science/languages-and-frameworks/machine-learning-and-ai,2150179520
coredns/coredns:1.11.0,41,4,19,8,0,1,9,283244923,152,sponsored,monitoring-and-observability/networking/security,18166459
istio/operator:1.21.3,43,23,17,1,1,0,1,6071557055,6,sponsored,monitoring-and-observability/networking/security,246
selenium/standalone-chrome-debug:3.141.59-20210929,567,161,378,19,0,2,7,108388061,103,sponsored,,435749493
fluent/fluentd:v1.17-debian-armhf-1,54,33,12,2,1,2,4,138951893,362,sponsored,,82539581
kindest/node:v1.28.9,113,49,17,12,1,2,32,94116338,105,sponsored,integration-and-delivery/networking/operating-systems,408817066
linuxserver/couchpotato:arm32v7-version-7260c12f,98,5,34,45,10,4,0,149181576,390,sponsored,,26636305
eclipse/che-jwtproxy:0.0.1,119,0,3,12,5,99,0,54473332,2,sponsored,api-management/integration-and-delivery/security,4451471
pactfoundation/pact-broker:2,23,4,7,1,0,3,8,70220454,18,sponsored,api-management/integration-and-delivery/developer-tools,265294128
linuxserver/piwigo:14.4.0,80,0,52,22,6,0,0,35901627,219,sponsored,content-management-system/security,119499665
linuxserver/sickrage:arm64v8-latest,481,23,198,197,46,15,2,41272524,144,sponsored,,118231660
gogs/gogs:0.13-arm64,175,14,62,62,12,15,10,91202163,770,sponsored,languages-and-frameworks/integration-and-delivery/security,43555861
linuxserver/calibre:4.23.0-v4,242,93,106,19,4,16,4,47854750,303,sponsored,content-management-system/databases-and-storage,1029201333
linuxserver/duckdns:arm64v8-version-72e081dd,16,3,8,1,0,3,1,208051434,393,sponsored,internet-of-things/networking,15347661
linuxserver/sabnzbd:nightly,6,4,1,1,0,0,0,700484624,616,sponsored,content-management-system/integration-and-delivery,70613734
certbot/certbot:v2.11.0,20,5,9,2,0,4,0,301204194,618,sponsored,security/web-servers,43019687
linuxserver/heimdall:development-f405cf2d-ls304,23,3,12,4,1,3,0,574910667,1092,sponsored,content-management-system/monitoring-and-observability/security,46265944
istio/install-cni:1.20.7,41,22,17,1,1,0,0,168664493,0,sponsored,integration-and-delivery/networking/security,249
jupyterhub/k8s-singleuser-sample:4.0.0-0.dev.git.6588.hd5ba9a9f,143,67,13,8,3,2,50,65147983,10,sponsored,,178882581
linuxserver/mylar:94dcfd13-ls47,411,18,179,161,37,15,1,89852071,120,sponsored,,94064981
redash/redash:10.0.0.b50363,2133,326,1232,415,40,37,83,61364081,252,sponsored,data-science/web-analytics,446300651
linuxserver/mariadb:version-10.11.8-r0,4,1,3,0,0,0,0,404654251,391,sponsored,databases-and-storage/integration-and-delivery/security,101779546
linuxserver/nextcloud:arm64v8-29.0.2,125,3,64,29,10,18,1,317959825,734,sponsored,,335359240
sitespeedio/sitespeed.io:34.1.0-plus1,804,173,506,90,7,20,8,47484508,116,sponsored,integration-and-delivery/monitoring-and-observability/web-analytics,1550279305
selenium/hub:4.21.0,37,22,15,0,0,0,0,204244449,453,sponsored,integration-and-delivery/monitoring-and-observability/networking,186654869
postgis/postgis:16-3.4-alpine,28,0,13,2,0,13,0,189132103,228,sponsored,,159493771
sitespeedio/sitespeed.io:34.1.0-slim,171,74,21,20,3,2,51,47484508,116,sponsored,integration-and-delivery/monitoring-and-observability/web-analytics,332712772
linuxserver/headphones:version-a78f38c1,84,7,22,12,2,35,6,88886603,221,sponsored,,70260492
tensorflow/tensorflow:nightly,157,71,58,12,0,16,0,77301907,2431,sponsored,,561115764
certbot/certbot:arm64v8-v2.11.0,15,3,7,1,0,4,0,301204194,618,sponsored,security/web-servers,42906764
linuxserver/sonarr:4.0.5-develop,11,0,4,7,0,0,0,2290249787,1996,sponsored,,85247479
linuxserver/grocy:4.2.0,31,3,22,1,1,4,0,54696470,150,sponsored,content-management-system,66321262
tautulli/tautulli:v2.14.0-beta,107,51,7,12,5,1,31,195640892,308,sponsored,monitoring-and-observability/web-analytics,78519274
linuxserver/ddclient:amd64-3.11.2,13,3,6,1,0,3,0,80100071,171,sponsored,integration-and-delivery/internet-of-things/networking,25233797
linuxserver/hydra2:amd64-version-v3.0.0,672,124,340,134,28,6,40,358868754,109,sponsored,,189418580
linuxserver/ombi:v4.43.5-ls192,27,18,9,0,0,0,0,966346568,460,sponsored,content-management-system/integration-and-delivery/web-servers,146440603
eclipse/che-dev:7.6.0,3587,1247,1563,344,49,95,289,92432179,7,sponsored,,600649362
apache/superset:961cb96-dev,1111,190,741,75,7,13,85,504512273,257,sponsored,data-science/security,1032753204
istio/mixer:1.7.8-distroless,151,6,43,75,9,10,8,278019880,6,sponsored,integration-and-delivery/monitoring-and-observability/security,47967777
linuxserver/jellyfin:arm64v8-10.9.6,37,24,9,2,0,2,0,139774537,700,sponsored,content-management-system/web-servers,215388218
linuxserver/radarr:arm64v8-5.7.0-nightly,11,0,4,7,0,0,0,2308857071,1646,sponsored,,84015383
linuxserver/emby:version-4.8.8.0,25,18,5,2,0,0,0,42985443,200,sponsored,content-management-system/web-servers,327210977
apache/airflow:slim-2.9.2rc1,106,55,5,8,1,1,36,1286219445,521,sponsored,data-science/integration-and-delivery/machine-learning-and-ai,223646904
selenium/standalone-chrome:125.0,93,50,43,0,0,0,0,422269184,578,sponsored,integration-and-delivery/monitoring-and-observability,506129604
jupyterhub/configurable-http-proxy:4,13,3,5,0,0,5,0,47663828,7,sponsored,data-science/integration-and-delivery/networking,57502548
eclipse/che-dev:nightly,3618,1312,1639,303,43,94,227,92432179,7,sponsored,,631545392
linuxserver/radarr:nightly,11,0,4,7,0,0,0,2308857071,1646,sponsored,,85843458
linuxserver/lazylibrarian:version-d8b2234c,49,27,19,3,0,0,0,237657888,215,sponsored,content-management-system/integration-and-delivery,140499641
